Token	Score
the 	259064.3949
 the 	208297.0123
and 	166066.5132
 and 	139098.9730
the	130567.1647
 of 	127624.6835
of 	123157.0246
 the	118778.9841
one nine 	117059.8865
of the 	113055.4611
e 	109497.0779
s 	108740.3226
ing 	107950.5719
 one nine 	104097.9823
he 	97108.3293
in 	96874.9748
to 	91236.0309
ed 	90070.3258
in the 	87314.0913
 of the 	83188.5594
in	80079.9985
 in 	78854.5099
one nine	77767.9843
is 	76518.1777
and	75514.3852
 to 	74130.3177
on 	73813.8640
of the	73238.3855
n 	72599.6458
 one nine	72518.6824
 a	72005.6326
one 	71366.4665
an	70418.0117
with 	68983.8495
s the 	68969.5198
s of 	67513.8281
re	67268.5486
s and 	66753.3440
d 	66433.0043
 and	65687.0838
al 	65670.9979
 th	65431.6769
an 	65232.0158
for 	64653.6344
that 	64362.7388
ly 	64051.0507
zero zero 	63725.3194
es 	63539.7096
t 	63449.2712
er 	63062.6547
y 	62731.5465
zero 	62663.6517
a 	62249.9930
 one 	62059.4524
er	61879.0087
 s	61600.6782
or 	60403.4490
th	60145.4473
as 	59984.1816
 a 	57861.0494
 in	57739.5939
was 	57578.5501
r 	57524.7524
 zero 	57403.5331
 of the	57373.8495
on	57041.4906
 in the 	56939.9788
 is 	55976.4728
al	55568.2184
s a	55431.7727
three 	54914.1365
ar	54543.4574
he	54505.5902
in the	54369.1118
his 	54307.7619
two 	54221.2314
from 	53743.5941
nd 	53100.2081
two zero z	52684.7855
to the 	52427.8398
ion 	51913.1768
or	51892.3506
ing	51563.7656
 was 	51301.4825
o 	51252.6163
 for 	50969.0194
two zero 	50684.7432
en	50095.4067
one nin	49302.0882
by 	48940.6664
are 	48742.4474
eight 	48500.9307
 one nin	48377.1021
s the	48291.1376
 co	48235.7645
to	48195.9623
 of	48187.7603
 two 	48047.7163
which 	47630.5038
 an	47429.4693
is	47117.5528
ra	47087.2156
 t	47073.9984
ro	46665.6113
tion 	46500.1673
 with 	46445.2556
ation 	46427.6762
 three 	46422.2326
l 	46114.1699
 that 	45918.3806
at 	45601.4454
le	45449.5760
five 	45187.8626
four 	44965.4048
of th	44682.7080
st 	44576.2678
re 	44203.3379
ive 	44127.2191
ne	44118.3195
nine 	44078.2452
te	44069.8086
ng 	43897.2319
de	43844.1610
 to	43831.0343
zero zero	43479.8752
ma	43368.1984
s in 	43069.6584
n the 	42741.9196
on the 	42643.2294
for	42443.1815
 re	42328.4277
ts 	42231.9199
st	42150.2704
ha	42056.2010
seven 	41801.3544
ne 	41731.4685
co	41728.9309
this 	41602.6828
us 	41469.1908
es	41446.7200
e a	41226.7376
were 	40934.9325
 two zero 	40810.5504
 s 	40660.4197
the s	40520.4685
 o	40399.4510
other 	40360.1777
 i	40248.3934
 c	40206.8169
le 	39838.5493
it 	39786.2056
 for	39774.1021
ter	39677.3791
ri	39648.8199
en 	39643.1580
se	39586.9748
and the 	39479.4543
 eight 	39409.3349
 of th	39331.2616
ic 	39288.3993
at	39256.2585
li	39207.3985
 ma	38467.8819
 in the	38257.0187
it	38242.3968
ve 	38209.4959
e the 	38151.7276
 five 	37843.7037
 as 	37792.1253
ce 	37514.0531
one eight 	37430.8720
d the 	37391.4402
ted 	37377.5873
ry 	37223.5171
ers 	37191.0099
ti	37146.7163
nt 	37084.8942
 four 	36879.4481
 zero zero	36838.7475
ed	36804.3760
ation	36549.5226
as	36403.4312
 b	36280.8207
its 	36179.2820
 nine 	36066.8833
 or 	35989.9449
rs 	35969.4481
 seven 	35950.0111
e s	35912.0983
in one nin	35853.1326
ca	35773.2269
h 	35714.2194
la	35683.4024
te 	35527.7771
the c	35477.4738
one	35366.6891
 by 	35267.6107
s and	35253.2897
ent 	35116.9515
with	35081.7776
by the 	34992.2891
have 	34979.3000
ur	34504.4604
ent	34432.5103
ing the 	34336.0177
 from 	34308.5117
not 	34223.7131
s in	34214.4941
 m	34194.1179
to the	34117.7083
 de	34081.2084
two zero	34036.7590
and the	34004.8319
in th	33945.1560
ve	33888.6622
ver	33851.6143
ta	33841.8111
ed the 	33799.8709
ies 	33793.5482
th 	33783.9643
 his 	33664.0549
also 	33630.3981
six 	33607.5480
de 	33578.5808
ment 	33557.4650
na	33505.6419
 which 	33499.5469
s th	33479.0997
f 	33415.5999
se 	33359.3806
ns 	33274.6086
one nine s	33261.0668
ed by 	33247.9592
me	33083.4390
s of the 	32985.4986
from the 	32946.6717
s are 	32937.8573
s to 	32753.9901
t the 	32652.5582
s of	32647.1284
ed to 	32510.0730
m 	32479.6633
 p	32472.0303
tion	32365.4237
n a	32328.2752
the a	32325.1409
ch	32303.5192
 to the 	32263.6665
 d	32166.7000
di	32101.8343
el	32071.5424
g 	32027.1702
ian 	31983.9160
for the 	31964.3709
ll 	31896.5590
ity 	31827.4281
s t	31781.9204
but 	31647.1160
 are 	31592.7206
no	31477.3898
ty 	31401.0390
lo	31365.1117
more 	31108.7392
man	31105.6663
one nine n	31033.2438
ine 	30993.4418
 on 	30904.9452
ion	30868.5718
 one ni	30832.9025
 this 	30756.2253
con	30754.3619
e of 	30723.1782
with the 	30618.3319
of t	30613.8271
nt	30575.2221
 e	30448.0665
be 	30433.6172
her	30410.5617
ter 	30346.5298
s a 	30342.7024
 zero	30282.9545
be	30175.7516
ting 	30158.2467
of	30130.5574
me 	30002.0540
at the 	29956.9561
f the 	29945.5306
ea	29944.9842
some 	29933.6653
ch 	29907.6170
ic	29865.3370
x 	29838.2056
of a	29831.2371
s o	29480.2664
 one	29450.8125
zero zer	29435.3646
ical 	29425.5848
un	29404.7544
ia 	29375.5724
est 	29373.1429
ble 	29327.2786
first 	29201.0067
 ca	29198.0598
ar 	29168.8983
hi	29165.4756
 h	29143.5100
one ni	29136.3472
ni	29135.5357
e and 	29108.5703
ho	29097.2116
mi	28948.4304
 two zero	28933.2888
that	28902.4253
s s	28896.1511
et 	28855.4053
even 	28824.1905
on the	28813.6120
ate 	28811.5583
three	28744.1810
ally 	28732.9155
i 	28712.4328
n the	28638.9416
k 	28607.3346
si	28603.8702
e the	28589.9129
nd	28494.4068
the p	28403.8638
sa	28314.8346
 of t	28302.4152
c 	28283.8425
 with	28226.1429
 f	28125.4747
 the s	28084.6736
are	28018.2968
mo	28010.7983
zero	27987.6122
 se	27911.5848
sta	27907.2669
ate	27844.7607
all 	27803.3060
all	27764.6803
able 	27756.6852
 six 	27738.3204
ions 	27736.8431
p 	27734.8311
 and the 	27681.2431
us	27649.8980
w 	27636.3743
cal 	27623.8090
hat 	27548.9683
eight	27541.4691
ne nine 	27522.0095
nine nine 	27519.5249
 con	27506.3605
has 	27471.8638
ight 	27438.5861
ge 	27334.2631
 three	27329.6973
 he	27311.2028
ce	27234.1542
ing the	27192.8589
o zero 	27176.4922
 r	27175.0322
ir 	27136.0946
american 	26945.5444
d to 	26938.9340
e t	26937.0738
and th	26866.0878
 be	26843.9854
 ha	26789.6983
ba	26788.2705
red 	26778.0301
 fo	26776.4588
nce 	26757.3031
ir	26701.4898
as the 	26699.9450
 l	26690.4961
 on	26661.4720
ree 	26652.0092
ary 	26628.6163
ia	26607.9249
and a	26464.9443
many 	26398.1214
ed a	26377.9588
d the	26368.6426
one eight	26354.2716
per	26273.6187
other	26266.4975
in a	26247.6873
 in th	26228.9305
ment	26222.8423
 is	26213.4225
y of 	26207.3668
s i	26202.8749
so	26202.8395
their 	26160.9150
d a	26116.9075
and t	26084.0948
most 	26063.6791
pa	26051.8596
 it 	26033.0878
wo 	25989.1287
t a	25889.4117
her 	25731.1617
et	25726.4721
bo	25712.5450
time 	25711.3261
ine	25691.7157
s an	25686.4774
ol	25673.0474
 pro	25598.0978
pro	25593.6331
 zero zer	25560.4511
a s	25516.4982
do	25512.5643
people 	25448.5251
est	25393.4000
the e	25388.4858
which	25366.9295
e c	25340.2661
ed the	25336.5737
ad	25318.3098
and s	25287.9618
ng	25220.4522
our 	25143.9794
vi	25077.5788
ns	25064.3878
pe	25009.5983
can 	25000.0024
nal 	24955.3423
it is 	24939.8052
ny 	24893.4850
from	24880.6690
ou	24869.2050
 the c	24851.0317
as a 	24836.5330
the m	24780.7469
 mo	24766.8225
ro 	24723.5850
 he 	24697.7562
king 	24681.8072
 of a	24677.2705
government	24642.4230
il	24605.8699
 one eight	24574.8345
ll	24519.1018
 that	24514.8460
ge	24512.6466
ist	24509.4558
 pa	24470.6493
les 	24455.6850
y the 	24451.5931
ant	24413.4036
his	24407.7229
s of the	24392.8848
ee 	24392.3170
 was	24350.7664
in one 	24294.8243
in one ni	24220.2557
man 	24219.7640
however 	24205.1027
ial 	24180.1332
in t	24152.6338
 eight	24051.6962
 al	24029.9067
hree 	23989.4218
ed in 	23976.3236
 as	23975.3633
mon	23969.3982
ds 	23857.8909
over	23819.5733
from the	23769.8228
s that 	23757.4558
ons 	23756.7457
rea	23672.7483
ac	23595.0043
 pr	23593.5411
one nine f	23573.2264
 la	23557.3084
t the	23504.1670
had 	23467.7945
y a	23467.0728
one zero 	23456.9023
for the	23447.7709
e th	23383.6947
res	23291.5997
po	23283.2087
e eight 	23260.0419
is a	23257.9490
um 	23131.6742
ck 	23131.2747
 ar	23121.1332
n s	23102.6072
tra	23086.2275
with the	23078.2721
ed t	23072.8430
 and the	23053.9667
ut	23045.1875
 other 	23038.3147
mar	23033.3011
ing a	23027.7146
years 	23022.1325
os	22986.6687
pre	22911.4650
bi	22909.4704
the b	22892.0193
cal	22848.8349
t of 	22818.3828
the f	22794.0628
ls 	22770.8677
el 	22764.2231
seven	22742.2909
ous 	22728.7672
tic 	22728.7292
ive	22727.1253
wa	22724.4423
 to the	22722.1253
ther	22708.6740
ur 	22694.4006
 wa	22631.2174
an a	22613.7327
ro zero 	22573.8846
ist 	22540.3612
 di	22512.5797
e e	22494.4381
ld 	22468.1317
e nine 	22452.5032
e in	22416.3764
da	22382.7657
sh	22366.0494
om	22363.8659
min	22359.3483
 were 	22342.7223
ers	22335.0264
our	22318.1799
after 	22310.6902
com	22289.9876
can	22277.6188
ste	22272.8556
e i	22272.6299
ght 	22239.8284
 no	22234.9493
 on the 	22169.3115
any 	22166.4293
to a	22159.5388
ther 	22125.9437
to th	22075.0424
o the 	22057.4428
lly 	22053.2069
is the 	22050.1816
ga	22032.5655
ie	22018.4310
as a	22012.8139
who 	22003.6673
the t	21980.3120
only 	21979.6693
 w	21977.3466
between 	21976.4986
 g	21948.4203
 ba	21939.3558
s c	21927.5935
age 	21910.1089
e o	21907.4437
was	21897.1636
lin	21849.0392
ome 	21830.3755
